,seed,dataset,num_clients,split,split_args,model,model_params,glob_c_idx,glob_c_idx_ipcw,glob_ibs,iso_c_idx,iso_c_idx_ipcw,iso_ibs,fed_c_idx,fed_c_idx_ipcw,fed_ibs
259,5306,metabric,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",deepsurv,{'epochs': 500},0.6335880901202133,0.6225652542643895,0.1726581768247481,0.5946481171881219,0.5889991804081756,0.1911670909650843,0.6508637847305151,0.6427609375438602,0.1539048372513774
261,5306,metabric,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",nmtlr,{'epochs': 500},0.6430021495103893,0.6324091624553675,0.1665327732651028,0.6101484754398535,0.6053749266910617,0.1673292012132053,0.6353992516519386,0.6247232236620167,0.1634927607837317
260,5306,metabric,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",nnet-survival,{'epochs': 500},0.6307419791417881,0.6224623600869578,0.1678672812971578,0.485652018151421,0.4830235905406208,0.2311983870827911,0.6147798742138365,0.6125144146453994,0.165102507920841
263,5306,metabric,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",pc-hazard,{'epochs': 500},0.6288910118621129,0.61998587925018,0.1678544166198561,0.4827362471140832,0.4782288217777669,0.2358269289704386,0.609923572963936,0.607145955635507,0.1689675853830625
338,5306,metabric,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",rsf,"{'params': {'bootstrap': True, 'max_depth': 20, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_samples_leaf': 3, 'min_samples_split': 15, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'n_jobs': -1, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, 'num_fed_trees': 200}",0.6454502030093145,0.6375860761894852,0.1592124200856617,0.6144057001831065,0.6079599685311299,0.1676551917129748,0.6589045458164159,0.6483844341368193,0.1590072764157273
339,5306,metabric,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",rsf_ibs,"{'params': {'bootstrap': True, 'max_depth': 20, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_samples_leaf': 3, 'min_samples_split': 15, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'n_jobs': -1, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, 'num_fed_trees': 400}",0.6454502030093145,0.6375860761894852,0.1592124200856617,0.6144057001831065,0.6079599685311299,0.1676551917129748,0.6536700899609904,0.6438336866862328,0.1592323082579005
252,5306,metabric,10,uniform,{'min_samples': 25},cox_ph,{'epochs': 500},0.6429026351405143,0.638258566794675,0.1535640225027179,0.6051906695326805,0.6041487595147182,0.1626220341501449,0.6352798344080886,0.6297018211063293,0.1563092175908397
256,5306,metabric,10,uniform,{'min_samples': 25},deephit,{'epochs': 500},0.6049876602181355,0.607834238587845,0.1662985965090488,0.5733271634424011,0.5757960320569107,0.1763025614564957,0.6161531725181116,0.6179938551377696,0.1667347828993883
253,5306,metabric,10,uniform,{'min_samples': 25},deepsurv,{'epochs': 500},0.6335880901202133,0.6225652542643895,0.1726581768247481,0.6093185255950959,0.6065731625848033,0.1677495253649947,0.6521773744128652,0.6437377841567475,0.154924538678653
255,5306,metabric,10,uniform,{'min_samples': 25},nmtlr,{'epochs': 500},0.6509035904784651,0.6376974359213166,0.1673544120077388,0.5954303001353396,0.588746696849696,0.1707109903275551,0.6380065281426638,0.6286488735511357,0.1584575948329352
254,5306,metabric,10,uniform,{'min_samples': 25},nnet-survival,{'epochs': 500},0.6307419791417881,0.6224623600869578,0.1678672812971578,0.4907093384284691,0.486283524867601,0.2268446937212542,0.6129289069341612,0.6108702979229288,0.1671154285652196
257,5306,metabric,10,uniform,{'min_samples': 25},pc-hazard,{'epochs': 500},0.6288910118621129,0.61998587925018,0.1678544166198561,0.5085920706950084,0.5044439240399656,0.225174645789581,0.6171284133428867,0.6110706686978745,0.1673578560749893
336,5306,metabric,10,uniform,{'min_samples': 25},rsf,"{'params': {'bootstrap': True, 'max_depth': 20, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_samples_leaf': 3, 'min_samples_split': 15, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'n_jobs': -1, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, 'num_fed_trees': 400}",0.6528540721280153,0.6439602199487244,0.1582492613333397,0.621435395271077,0.6143928523951935,0.1647394711226986,0.6472613645410398,0.6348427202064729,0.157656144104069
337,5306,metabric,10,uniform,{'min_samples': 25},rsf_ibs,"{'params': {'bootstrap': True, 'max_depth': 20, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_samples_leaf': 3, 'min_samples_split': 15, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'n_jobs': -1, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, 'num_fed_trees': 100}",0.6528540721280153,0.6439602199487244,0.1582492613333397,0.621435395271077,0.6143928523951935,0.1647394711226986,0.6481171881219648,0.6358098673243614,0.1570878308174075
